date,news_desk,avg_score
2015-01-01,Business,0.12799
2015-01-02,Business,0.21346666666666667
2015-01-03,Business,-0.31139999999999995
2015-01-04,Business,0.07623333333333333
2015-01-05,Business,-0.03114444444444444
2015-01-06,Business,0.051300000000000005
2015-01-07,Business,0.02661739130434782
2015-01-08,Business,-0.005560606060606069
2015-01-09,Business,0.016349999999999996
2015-01-10,Business,0.012539999999999992
2015-01-11,Business,0.05387499999999999
2015-01-12,Business,-0.01349302325581395
2015-01-13,Business,0.04327037037037037
2015-01-14,Business,-0.0029978723404255323
2015-01-15,Business,0.1174342105263158
2015-01-16,Business,-0.04287352941176469
2015-01-17,Business,0.0047875
2015-01-18,Business,0.10115
2015-01-19,Business,0.08073448275862072
2015-01-20,Business,0.11598695652173915
2015-01-21,Business,0.05572631578947367
2015-01-22,Business,-0.019359090909090913
2015-01-23,Business,0.09629545454545453
2015-01-24,Business,0.050559999999999994
2015-01-25,Business,0.10010000000000002
2015-01-26,Business,-0.005957499999999999
2015-01-27,Business,0.013222222222222222
2015-01-28,Business,-0.007981578947368425
2015-01-29,Business,0.04314883720930233
2015-01-30,Business,-0.07741315789473684
2015-01-31,Business,-0.004500000000000001
2015-02-01,Business,-0.10628333333333334
2015-02-02,Business,0.10832105263157893
2015-02-03,Business,0.06200476190476191
2015-02-04,Business,0.11099459459459461
2015-02-05,Business,0.03359999999999999
2015-02-06,Business,0.06681142857142858
2015-02-07,Business,-0.12035
2015-02-08,Business,-0.08202000000000001
2015-02-09,Business,0.007353125000000002
2015-02-10,Business,-0.034990909090909086
2015-02-11,Business,0.1209657142857143
2015-02-12,Business,-0.05468108108108107
2015-02-13,Business,-0.03465
2015-02-14,Business,0.06743333333333333
2015-02-15,Business,-0.061016666666666663
2015-02-16,Business,-0.027627777777777782
2015-02-17,Business,-0.02772258064516129
2015-02-18,Business,0.03756857142857143
2015-02-19,Business,-0.015482758620689653
2015-02-20,Business,0.09116153846153845
2015-02-21,Business,0.18066666666666667
2015-02-22,Business,0.18801428571428574
2015-02-23,Business,0.02433214285714286
2015-02-24,Business,0.0468175
2015-02-25,Business,-0.04972857142857143
2015-02-26,Business,-0.02837600000000001
2015-02-27,Business,0.12284722222222223
2015-02-28,Business,0.1259142857142857
2015-03-01,Business,-0.10446
2015-03-02,Business,0.07457142857142857
2015-03-03,Business,0.03767586206896552
2015-03-04,Business,0.009000000000000001
2015-03-05,Business,-0.06288260869565217
2015-03-06,Business,0.043688000000000005
2015-03-07,Business,0.01075000000000001
2015-03-08,Business,-0.022337500000000003
2015-03-09,Business,0.046696774193548375
2015-03-10,Business,0.07640344827586208
2015-03-11,Business,0.03106666666666667
2015-03-12,Business,-0.12572142857142857
2015-03-13,Business,0.04371363636363637
2015-03-14,Business,0.0
2015-03-15,Business,0.36274999999999996
2015-03-16,Business,-0.01957333333333333
2015-03-17,Business,-0.00977777777777778
2015-03-18,Business,0.05725833333333333
2015-03-19,Business,0.0397837837837838
2015-03-20,Business,0.029886206896551724
2015-03-21,Business,0.0
2015-03-22,Business,-0.02057500000000001
2015-03-23,Business,0.05674583333333333
2015-03-24,Business,-0.025320689655172413
2015-03-25,Business,0.1114576923076923
2015-03-26,Business,0.03604000000000001
2015-03-27,Business,-0.060099999999999994
2015-03-28,Business,0.0
2015-03-29,Business,0.2741166666666666
2015-03-30,Business,0.0026483870967741927
2015-03-31,Business,0.015059523809523806
2015-04-01,Business,0.019377777777777768
2015-04-02,Business,-0.016720000000000002
2015-04-03,Business,0.06980588235294116
2015-04-04,Business,-0.24695
2015-04-05,Business,-0.1794625
2015-04-06,Business,0.04602307692307693
2015-04-07,Business,0.03646129032258065
2015-04-08,Business,0.10287000000000002
2015-04-09,Business,-0.0398551724137931
2015-04-10,Business,-0.12157916666666667
2015-04-11,Business,-0.051433333333333324
2015-04-12,Business,0.030940000000000002
2015-04-13,Business,0.13052499999999997
2015-04-14,Business,0.03907352941176471
2015-04-15,Business,0.045107317073170734
2015-04-16,Business,0.042444444444444444
2015-04-17,Business,0.00693333333333332
2015-04-18,Business,-0.3737333333333333
2015-04-19,Business,-0.06978333333333334
2015-04-20,Business,-0.0037916666666666723
2015-04-21,Business,-0.10527096774193548
2015-04-22,Business,-0.044082500000000004
2015-04-23,Business,0.0692657894736842
2015-04-24,Business,0.06284347826086957
2015-04-25,Business,-0.011924999999999998
2015-04-26,Business,-0.03076363636363637
2015-04-27,Business,-0.008003448275862073
2015-04-28,Business,-0.01715945945945946
2015-04-29,Business,-0.05096052631578946
2015-04-30,Business,0.0272962962962963
2015-05-01,Business,-0.004637931034482757
2015-05-02,Business,-0.11449999999999999
2015-05-03,Business,-0.01369999999999999
2015-05-04,Business,-0.0372375
2015-05-05,Business,0.04728064516129032
2015-05-06,Business,-0.029544000000000004
2015-05-07,Business,0.023474074074074074
2015-05-08,Business,-0.009143999999999992
2015-05-09,Business,0.0
2015-05-10,Business,-0.09809999999999999
2015-05-11,Business,-0.0788
2015-05-12,Business,-0.042497222222222235
2015-05-13,Business,0.10667380952380952
2015-05-14,Business,-0.02285714285714285
2015-05-15,Business,0.0014666666666666636
2015-05-16,Business,0.4019
2015-05-17,Business,-0.12264
2015-05-18,Business,0.019346428571428567
2015-05-19,Business,-0.13422068965517242
2015-05-20,Business,0.015802857142857143
2015-05-21,Business,0.0018173913043478276
2015-05-22,Business,0.015296153846153845
2015-05-23,Business,0.41895000000000004
2015-05-24,Business,-0.1886375
2015-05-25,Business,-0.10758461538461538
2015-05-26,Business,0.07594642857142857
2015-05-27,Business,-0.059895
